TI,AB,DP,MH,PMID,mir,is_mir_causal,note
Comparison of Expression Levels of miR-29b-3p and miR-326 in T Helper-1 and T Helper-17 Cells Isolated from Responsive and Non-responsive Relapsing-remitting Multiple Sclerosis Patients Treated with Interferon-beta.,"T helper type 1 (Th1) and Th17 Cells with distinct cytokine profiles including interferon-gamma (IFN-gamma) and interleukin 17 (IL-17) have a pivotal role in neuroinflammation and myelin destruction in the central nervous system (CNS) in MS. MicroRNA-29b (MiR-29b) and miR-326 contribute to regulating Th1 and Th17 differentiation and altered expression of the miRNAs could be associated with response to treatment in multiple sclerosis (MS). Therefore, our study aimed to evaluate the percentage of Th1 and Th17 and determining the expression levels of miR-29b-3p and miR-326 in these lymphocyte subpopulations between responsive and non-responsive to interferon beta (IFN-beta) therapy in relapsing-remitting multiple sclerosis (RRMS) patients. The present study was performed on 40 RRMS patients following treatment with IFN-beta. The percentage of Th1 cells and Th17 cells were determined by flow cytometry in responsive and non-responsive patients. The expression levels of miR-29b-3p and miR-326 were assessed in Th1 and Th17 cells by quantitative polymerase chain reaction (PCR). Enzyme-linked immunosorbent assay (ELISA) was applied to evaluate the plasma levels of IFN-gamma and IL-17A. No significant difference was observed in the percentage of Th1 and Th17 cells as well as the expression levels of miR-29b-3p and miR-326 (in Th1 and Th17, respectively) in treated patients. Also, we did not find any significant difference in IFN-gamma and IL-17A plasma concentration between responsive or non-responsive to IFN-beta therapy in patients with RRMS. IFN-beta may regulate other miRNAs in Th1 and Th17 cells than miR29b-3p and miR-326 in MS patients.",2020 Aug 25,"['Biomarkers', '*Gene Expression Regulation', 'Humans', 'Interferon-beta/administration & dosage/therapeutic use', 'MicroRNAs/*genetics', 'Multiple Sclerosis, Relapsing-Remitting/diagnosis/drug therapy/*etiology/metabolism', 'Th1 Cells/immunology/*metabolism', 'Th17 Cells/immunology/*metabolism', 'Treatment Outcome']",33463108,hsa-mir-326,no,
MicroRNA expression profile in plasma from type 1 diabetic patients: Case-control,"AIMS: To investigate a miRNA expression profile in plasma of type 1 diabetes (T1DM) patients and control subjects and analyze the putative pathways involved. METHODS: Expressions of 48 miRNAs were analyzed in plasma of 33 T1DM patients and 26 age-and-gender-matched controls using Stem-loop RT-PreAmp PCR and TaqMan Low Density Arrays (Thermo Fisher Scientific). Five dysregulated miRNAs were then chosen for validation in an independent sample of 27 T1DM patients and 14 controls, using RT-qPCR. Bioinformatic analyses were performed to determine in which pathways these miRNAs are involved. RESULTS: Nine miRNAs were differentially expressed between recently-diagnosed T1DM patients (<5 years of diagnosis) and controls. No differences were observed between patients with ѓ?ќ5 years of diagnosis and controls. After validation in an independent sample of T1DM patients, miR-103a-3p, miR-155-5p, miR-200a-3p, and miR-210-3p were confirmed as being upregulated in recently-diagnosed T1DM patients compared with controls or patients with ѓ?ќ5 years of diagnosis. Moreover, miR-146a-5p was downregulated in recently-diagnosed T1DM patients compared with the other groups. These five miRNAs regulate several genes from innate immune system-, MAPK-, apoptosis-, insulin- and cancer-related pathways. CONCLUSION: Five miRNAs are dysregulated in recently-diagnosed T1DM patients and target several genes involved in pathways related to T1DM pathogenesis, thus representing potential T1DM biomarkers.",2018,"['Adult', 'Case-Control Studies', 'Computational Biology/*methods', 'Diabetes Mellitus, Type 1/*genetics/metabolism', 'Female', 'Humans', 'Male', 'MicroRNAs/*metabolism', 'Young Adult']",29679626,hsa-mir-200a,no,
A Systematic Review of Esophageal MicroRNA Markers for Diagnosis and Monitoring,"BACKGROUND: Esophageal epithelial microRNAs may be used to diagnose Barrett's esophagus (BE) and possibly monitor its progression to esophageal adenocarcinoma (EAC). AIMS: We reviewed studies that have investigated this to identify microRNAs with high biomarker potential for screening and disease monitoring in BE. METHODS: PubMed and EMBASE databases were searched for studies that quantified esophageal epithelial microRNAs. Publications reporting microRNA comparisons of normal, non-dysplastic BE, BE with high-grade dysplasia (HGD), and EAC tissues using both unbiased discovery and independent validation phases were reviewed. RESULTS: Eleven studies on microRNA expression differences between normal epithelium and non-dysplastic BE (seven studies), HGD (4) or EAC (7), or between non-dysplastic BE and HGD (3) or EAC (6) were identified, and the findings of their validation phase were analyzed. Increased miR-192, -194, and -215, and reduced miR-203 and -205 expression in BE compared to normal was noticed by all 4-6 of the seven studies that examined these microRNAs. In heterogeneity tests of the reported fold-change values, the I (2) statistics were 7.9-17.1 % (all P < 0.05). Elevated miR-192, -194, and -215, and diminished miR-203 and -205 levels were also noted for comparisons of HGD or EAC against normal. In contrast, a consistent microRNA expression difference was absent for the comparisons of HGD or EAC against BE. CONCLUSIONS: MicroRNAs miR-192, -194, -203, -205, and -215 are promising tissue biomarkers for diagnosing BE. Cross-sectional data suggest that microRNAs may have a limited role in separating BE from HGD/EAC epithelia but need further testing in longitudinal follow-up studies.",2016,"['Adenocarcinoma/etiology/*metabolism', 'Barrett Esophagus/complications/diagnosis/*metabolism', 'Biomarkers/metabolism', 'Esophageal Neoplasms/etiology/*metabolism', 'Humans', 'MicroRNAs/*metabolism']",26572780,hsa-mir-192,no,
Regulatory Axis of miR-195/497 and HMGA1-Id3 Governs Muscle Cell Proliferation,"Myocytes withdraw from the cell cycle to differentiate during muscle development. Given the capacity of microRNAs (miRNAs) to regulate gene expression during development, we screened for miRNAs that were associated with muscle development. S-Poly(T) Plus analysis of 273 miRNAs in porcine longissimus dorsi muscles revealed 14 miRNAs that were strongly upregulated with age of postnatal muscle development in vivo, including miR-195 and miR-497. These two miRNAs were also strongly upregulated at late differentiation stages of mouse skeletal myoblast C2C12 cells, and demethylation treatment induced significant upregulation of miR-195/497. Manipulation of miR-195/497 expression resulted in dramatic changes in the proliferation and differentiation of C2C12 cells. We identified high-mobility group AT-hook 1 (Hmga1) mRNA as a highly conserved target of miR-195/497 in C2C12 myoblasts. Overexpression of miR-195/497 or Hmga1 silencing in C2C12 cells promoted myogenic differentiation. Moreover, we showed that miR-195/497 repressed Hmga1, which in turn downregulated one of the HMGA1 downstream targets Id3, whose inhibitory effect on myogenic differentiation is well established. Our study revealed a subset of potential development-associated miRNAs and suggests a novel regulatory axis for myogenesis in which miR-195/497 promote myogenic differentiation by repressing the HMGA1-Id3 pathway.",2017,"[""3' Untranslated Regions/genetics/physiology"", 'Animals', 'Blotting, Western', 'Cell Differentiation/genetics/*physiology', 'Cell Line', 'Cell Proliferation/genetics/*physiology', 'HMGA Proteins/genetics/*metabolism', 'HMGA1a Protein/genetics/metabolism', 'Humans', 'Male', 'Mice', 'MicroRNAs/*genetics/metabolism/physiology', 'Muscle Development/genetics/*physiology', 'Myoblasts/*cytology/*metabolism', 'Plasmids/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Swine']",28255268,hsa-mir-497,yes,"but, no disease"
miR-146a and miR-152 in prostate cancer and clinicopathological parameters.,"PURPOSE: To investigate the expression of miR-146a and miR-152 in the serum of patients with prostate cancer and the relationship between their expression and clinicopathologic parameters. METHODS: 56 patients with prostate cancer and 56 healthy volunteers were included in this study and the relationship between the expression levels of miR-146a and miR-152 and the clinicopathological parameters of the patients with prostate cancer were analyzed. ROC curve was used to search the diagnostic value of each indicator. RESULTS: The expression of miR-146a in patients in the cancer group was significantly higher than that in the normal group (p<0.05). The expression of miR-152 in the cancer group was significantly lower than that in the normal group (p<0.05). The expression level of miR-146a in the patients with prostate cancer was closely related to clinical staging, the presence or absence of bone metastasis, tPSA and pathological staging (p<0.001) and the expression level of miR-152 in the patients with prostate cancer was closely related to clinical staging, the presence or absence of bone metastasis and pathological staging (p<0.001). CONCLUSION: The expression level of miR-146a showed a trend of up-regulation in prostate cancer, and the expression level of miR-152 had a trend of down-regulation in prostate cancer, and the results of partial correlation analysis showed that the expression level of miR-146a and miR-152 was negatively correlated with each other in the serum of the patients with prostate cancer.",2019,"['Adult', 'Aged', 'Bone Neoplasms/*genetics/pathology/secondary', 'Cell Line, Tumor', 'Cell Proliferation', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Male', 'MicroRNAs/*genetics', 'Middle Aged', 'Neoplasm Metastasis', 'Prostatic Neoplasms/*genetics/pathology']",31646827,hsa-mir-146a,no,
The tuberculosis drug streptomycin as a potential cancer therapeutic: inhibition,,2012,"['Antitubercular Agents/chemistry/*pharmacology', 'Apoptosis/*drug effects', 'Apoptosis Regulatory Proteins/genetics/metabolism', 'Cell Line, Tumor', 'Humans', 'MicroRNAs/*antagonists & inhibitors/metabolism', 'Neoplasms/drug therapy', 'RNA-Binding Proteins/genetics/metabolism', 'Streptomycin/chemistry/*pharmacology', 'Ultraviolet Rays']",22173871,hsa-mir-21,no,blank
MicroRNA-155 inhibits dengue virus replication by inducing heme,"MicroRNAs (miRNAs) have been reported to directly alter the virus life cycle and virus-host interactions, and so are considered promising molecules for controlling virus infection. In the present study, we observed that miR-155 time-dependently downregulated upon dengue virus (DENV) infection. In contrast, exogenous overexpression of miR-155 appeared to limit viral replication in vitro, suggesting that the low levels of miR-155 would be beneficial for DENV replication. In vivo, overexpression of miR-155 protected ICR suckling mice from the life-threatening effects of DENV infection and reduced virus propagation. Further investigation revealed that the anti-DENV activity of miR-155 was due to target Bach1, resulting in the induction of the heme oxygenase-1 (HO-1)-mediated inhibition of DENV NS2B/NS3 protease activity, ultimately leading to induction of antiviral interferon responses, including interferon-induced protein kinase R (PKR), 2'-5'-oligoadenylate synthetase 1 (OAS1), OAS2, and OAS3 expression, against DENV replication. Collectively, our results provide a promising new strategy to manage DENV infection by modulation of miR-155 expression.",2020,"['Animals', 'Antiviral Agents/*pharmacology', 'Cell Line', 'Cell Line, Tumor', 'Cricetinae', 'Dengue/*drug therapy/*genetics/virology', 'Dengue Virus/*drug effects', 'Heme Oxygenase-1/*genetics', 'Humans', 'Interferons/*pharmacology', 'Membrane Proteins/*genetics', 'Mice', 'Mice, Inbred ICR', 'MicroRNAs/*genetics', 'Virus Replication/drug effects']",32277848,hsa-mir-155,yes,"bur, protective"
Coordinated targeting of MMP-2/MMP-9 by miR-296-3p/FOXCUT exerts,"Choroidal melanoma is the most common intraocular tumor in adults, and overexpression of matrix metalloproteinase-2 or matrix metalloproteinase-9 (MMP-2/MMP-9) is associated with angiogenesis and tumor metastasis of the choroidal malignant melanoma (CMM). This study aims to investigate the functions and mechanisms of microRNA or long non-coding RNA-targeted MMP-2/MMP-9 in CMM. We demonstrated that expressions of MMP-2/MMP-9 were increased in CMM tissues and C918 cells in comparison with normal choroidal melanocytes. Bio-informatics prediction and our experiments validated that MMP-2 and MMP-9 were simultaneously targeted by miR-296-3p and FOXC1 promoter upstream transcript (FOXCUT); the latter two exerted tumor-suppressing effects on CMM cells by inhibiting cell proliferation, cell cycle progression, migration, invasion, and induction of cell apoptosis. Furthermore, significant downregulations of miR-296-3p and FOXCUT were found in C918 cells compared with choroidal melanocytes from the unaffected eyes, and a positive correlation was observed between their levels in three cases of eye malignant melanomas. Our data indicated that MMP-2/MMP-9 was coordinately targeted by two non-coding RNAs, miR-296-3p and FOXCUT, which were decreased, and tumor-suppressing factors in CMM. Further study will show the possibility of developing them as therapeutic candidates for CMM.",2018,"['Cell Line, Tumor', 'Cell Proliferation/genetics', 'Cells, Cultured', 'Choroid Neoplasms/enzymology/genetics/*pathology', 'Down-Regulation', '*Genes, Tumor Suppressor', 'Humans', 'Matrix Metalloproteinase 2/*metabolism', 'Matrix Metalloproteinase 9/*metabolism', 'Melanoma/enzymology/genetics/*pathology', 'MicroRNAs/genetics/*metabolism', 'Neoplasm Invasiveness/genetics', 'Neoplasm Metastasis/genetics', 'RNA, Long Noncoding/genetics/*metabolism', 'Real-Time Polymerase Chain Reaction', 'Reproducibility of Results', 'Reverse Transcriptase Polymerase Chain Reaction', 'Up-Regulation']",29260433,hsa-mir-296,yes,protective
Lung epithelial cells resist influenza A infection by inducing the expression of cytochrome c oxidase VIc which is modulated by miRNA 4276.,"Influenza virus infection induces several changes in host miRNA profile, host cell death and tissue damage. Cytochrome c is a regulator of the intrinsic apoptotic pathway and is altered during viral infections. Within the first 3h of infection with influenza virus, significant down-regulation of hsa-miRNA-4276 (miRNA-4276) is followed by a 2-fold increase in cytochrome c oxidase VIC (COX6C) mRNA was found to occur in human alveolar and bronchial epithelial cells. Expression of caspase-9 also increased within the first 3h of infection, but subsequently decreased. Modulation of miR-4276 using mimic and inhibitor oligonucleotides showed significant down-regulation or up-regulation, respectively, of COX6C expression. Our data suggests that on initial exposure to influenza virus, host cells upregulate COX6C mRNA expression through silencing miR-4276 and repressed viral replication by inducing the apoptotic protein caspase-9. Taken together, these data suggest that miR-4276 may be an important regulator of the early stages of infection by influenza.",2014 Nov,"['Animals', 'Bronchi/*cytology', 'Cell Line', 'Dogs', 'Electron Transport Complex IV/genetics/*metabolism', 'Epithelial Cells/immunology/*virology', 'Gene Expression Regulation, Enzymologic/physiology', 'Humans', 'Influenza A Virus, H1N1 Subtype/physiology', 'Influenza A Virus, H3N2 Subtype/*physiology', 'MicroRNAs/genetics/*metabolism', 'Oligonucleotide Array Sequence Analysis', 'Respiratory Mucosa/*cytology']",25203353,hsa-mir-4276,yes,
Helicobacter pylori infection modulates the expression of miRNAs associated with,"Genetic and epigenetic inactivation of DNA mismatch repair (MMR) genes might lead to modifications in cancer-related gene expression and cancer development. Recently, it has been shown that the infection by Helicobacter pylori, the major causative agent of gastric cancer, induces DNA damage and inhibits MMR DNA repair. Also, it has been reported that microRNAs (miRs) have an important role in regulating genomic stability and MMR DNA repair. Thus, the aim of this study was to identify miRs regulating MMR pathway in H. pylori-associated gastric carcinogenesis. To address this question, a gastric epithelial cell line and AGS cancer gastric cells were infected with several H. pylori strains. MMR gene expression and miRs correlating with H. pylori strain infection were evaluated. The results showed that H. pylori infection significantly down-regulated the expression of all selected MMR genes. Also, H. pylori infection modulated the expression of several miRs (including miR-150-5p, miR-155-5p, and miR-3163), after 4, 8, and 12 h of infection. Computational prediction of candidate miRs and their predicted MMR targeting sites were obtained from TargetScan, mirDB, and MetaCore. The generated data indicated that the selected miRs (miR-150-5p, miR-155-5p, and miR-3163) could possibly target and modulate MMR genes (POLD3, MSH2, and MSH3, respectively). The target validation was performed using mimics and luciferase gene reporter assays. Briefly, this study shows that H. pylori impairs MMR DNA repair pathway and identifies miRs that regulate MMR gene expression in gastric cancer. ?? 2016 Wiley Periodicals, Inc.",2017,"['Cell Line', 'Cell Line, Tumor', '*DNA Mismatch Repair', 'Gastric Mucosa/metabolism', 'Gene Expression Regulation, Neoplastic', 'Helicobacter Infections/*complications/*genetics/microbiology', 'Helicobacter pylori/*physiology', 'Humans', 'MicroRNAs/*genetics', 'Stomach/*microbiology', 'Stomach Neoplasms/*genetics/*microbiology']",27862371,hsa-mir-150,no,
