,TI,AB,DP,MH,PMID,mir,is_mir_causal
357,"Mature miRNAs form secondary structure, which suggests their function beyond","The generally accepted model of the miRNA-guided RNA down-regulation suggests that mature miRNA targets mRNA in a nucleotide sequence-specific manner. However, we have shown that the nucleotide sequence of miRNA is not the only determinant of miRNA specificity. Using specific nucleases, T1, V1 and S1 as well as NMR, UV/Vis and CD spectroscopies, we found that miR-21, miR-93 and miR-296 can adopt hairpin and/or homoduplex structures. The secondary structure of those miRNAs in solution is a function of RNA concentration and ionic conditions. Additionally, we have shown that a formation of miRNA hairpin is facilitated by cellular environment.Looking for functional consequences of this observation, we have perceived that structure of these miRNAs resemble RNA aptamers, short oligonucleotides forming a stable 3D structures with a high affinity and specificity for their targets. We compared structures of anti-tenascin C (anti-Tn-C) aptamers, which inhibit brain tumor glioblastoma multiforme (GBM, WHO IV) and selected miRNA. A strong overexpression of miR-21, miR-93 as well Tn-C in GBM may imply some connections between them. The structural similarity of these miRNA hairpins and anti-Tn-C aptamers indicates that miRNAs may function also beyond RISC and are even more sophisticated regulators, that it was previously expected. We think that the knowledge of the miRNA structure may give a new insight into miRNA-dependent gene regulation mechanism and be a step forward in the understanding their function and involvement in cancerogenesis. This may improve design process of anti-miRNA therapeutics.",2014,"['Base Sequence', 'Humans', 'MicroRNAs/*chemistry/genetics', '*Nucleic Acid Conformation', 'Sequence Homology, Nucleic Acid']",25423301,hsa-mir-21,No
3230,Papillary Thyroid Carcinoma: Molecular Distinction by MicroRNA Profiling.,"Papillary thyroid carcinoma (PTC) is a miscellaneous disease with a variety of histological variants, each with its own mutational profile, and clinical and prognostic characteristics. Identification of microRNA (miRNA) expression profiles represents an important benchmark for understanding the molecular mechanisms underlying the biological behavior of these unique PTC subtypes in order that they be better characterized. We considered a series of 35 PTC samples with a histological diagnosis of either hobnail (17 cases) or classical variant (nine cases) and with a specific BRAF p.K601E mutation (nine cases). We determined the overall miRNA expression profile with NanoString technology, and both quantitative reverse transcription-PCR and in situ hybridization were used to confirm selected miRNAs. The miRNA signature was found to consistently differentiate specific histotypes and mutational profiles. In contrast to the BRAF p.K601E mutation and classic PTCs, three miRNAs (miR-21-5p, miR-146b-5p, and miR-205-5p) were substantially overexpressed in the hobnail variant. The current study found that different miRNA signature profiles were linked to unique histological variants and BRAF mutations in PTC. Further studies focusing on the downstream pathogenetic functions of mRNAs in thyroid neoplasms are warranted.",2022,"['*Carcinoma, Papillary/genetics/pathology', 'Humans', '*MicroRNAs/metabolism', 'Proto-Oncogene Proteins B-raf/genetics', 'Thyroid Cancer, Papillary/genetics', '*Thyroid Neoplasms/diagnosis/genetics/metabolism']",35282462,hsa-mir-21,No
23,First Trimester Prediction of Preterm Delivery in the Absence of Other Pregnancy-Related Complications Using Cardiovascular-Disease Associated MicroRNA Biomarkers.,"The aim of the study was to determine if aberrant expression profile of cardiovascular disease associated microRNAs would be able to predict within 10 to 13 weeks of gestation preterm delivery such as spontaneous preterm birth (PTB) or preterm prelabor rupture of membranes (PPROM) in the absence of other pregnancy-related complications (gestational hypertension, preeclampsia, fetal growth restriction, or small for gestational age). In addition, we assessed if aberrant expression profile of cardiovascular disease associated microRNAs would be able to predict preterm delivery before and after 34 weeks of gestation. The retrospective study was performed within the period November 2012 to March 2020. Whole peripheral blood samples were collected from 6440 Caucasian individuals involving 41 PTB and 65 PPROM singleton pregnancies. A control group, 80 singleton term pregnancies, was selected on the base of equal sample storage time. Gene expression of 29 selected cardiovascular disease associated microRNAs was studied using real-time RT-PCR. Downregulation of miR-16-5p, miR-20b-5p, miR-21-5p, miR-24-3p, miR-26a-5p, miR-92a-3p, miR-126-3p, miR-133a-3p, miR-145-5p, miR-146a-5p, miR-155-5p, miR-210-3p, miR-221-3p and miR-342-3p was observed in pregnancies with preterm delivery before 37 (</=36 + 6/7) weeks of gestation. Majority of downregulated microRNAs (miR-16-5p, miR-24-3p, miR-26a-5p, miR-92a-3p, miR-133a-3p, miR-145-5p, miR-146a-5p, miR-155-5p, miR-210-3p, and miR-342-3p) was associated with preterm delivery occurring before 37 (</=36 + 6/7) weeks of gestation. The only miR-210-3p was downregulated in pregnancies with preterm delivery before 34 (</=33 + 6/7) weeks of gestation. The type of preterm delivery also had impact on microRNA gene expression profile. Downregulation of miR-24-3p, miR-92a-3p, miR-155-5p, and miR-210-3p was a common feature of PTB and PPROM pregnancies. Downregulation of miR-16-5p, miR-20b-5p, miR-26a-5p, miR-126-3p, miR-133a-3p, miR-146a-5p, miR-221-3p, and miR-342-3p appeared just in PTB pregnancies. No microRNA was uniquely dysregulated in PPROM pregnancies. The combination of 12 microRNAs (miR-16-5p, miR-20b-5p, miR-21-5p, miR-24-3p, miR-26a-5p, miR-92a-3p, miR-133a-3p, miR-145-5p, miR-146a-5p, miR-155-5p, miR-210-3p, and miR-342-3p, AUC 0.818, p &lt; 0.001, 74.53% sensitivity, 75.00% specificity, cut off &gt; 0.634) equally as the combination of 6 microRNAs (miR-16-5p, miR-21-5p, miR-24-3p, miR-133a-3p, miR-155-5p, and miR-210-3p, AUC 0.812, p &lt; 0.001, 70.75% sensitivity, 78.75% specificity, cut off &gt; 0.652) can predict preterm delivery before 37 weeks of gestation in early stages of gestation in 52.83% pregnancies at 10.0% FPR. Cardiovascular disease associated microRNAs represent promising biomarkers with very good diagnostical potential to be implemented into the current routine first trimester screening programme to predict preterm delivery.",2022 Apr 1,"['Biomarkers', '*Cardiovascular Diseases/genetics', '*Cerebrovascular Disorders/diagnosis', 'Female', 'Fetal Growth Retardation/genetics', 'Fetal Membranes, Premature Rupture', 'Humans', 'Infant, Newborn', '*MicroRNAs/metabolism', 'Pregnancy', '*Pregnancy Complications/genetics', 'Pregnancy Trimester, First', '*Premature Birth/genetics', 'Retrospective Studies']",35409311,hsa-mir-20b,No
167,MicroRNA expression in response to controlled exposure to diesel exhaust:,"BACKGROUND: Adverse health effects associated with diesel exhaust (DE) are thought to be mediated in part by oxidative stress, but the detailed mechanisms are largely unknown. MicroRNAs (miRNAs) regulate gene expression post-transcriptionally and may respond to exposures such as DE. OBJECTIVES: We profiled peripheral blood cellular miRNAs in participants with mild asthma who were exposed to controlled DE with and without antioxidant supplementation. METHODS: Thirteen participants with asthma underwent controlled inhalation of filtered air and DE in a double-blinded, randomized crossover study of three conditions: a) DE plus placebo (DEP), b) filtered air plus placebo (FAP), or c) DE with N-acetylcysteine supplementation (DEN). Total cellular RNA was extracted from blood drawn before exposure and 6 hr after exposure for miRNA profiling by the NanoString nCounter assay. MiRNAs significantly associated with DEP exposure and a predicted target [nuclear factor (erythroid-derived 2)-like 2 (NRF2)] as well as antioxidant enzyme genes were assessed by reverse transcription-quantitative polymerase chain reaction (RT-qPCR) for validation, and we also assessed the ability of N-acetylcysteine supplementation to block the effect of DE on these specific miRNAs. 8-hydroxy-2'-deoxyguanosine (8-OHdG) was measured in plasma as a systemic oxidative stress marker. RESULTS: Expression of miR-21, miR-30e, miR-215, and miR-144 was significantly associated with DEP. The change in miR-144 was validated by RT-qPCR. NRF2 and its downstream antioxidant genes [glutamate cysteine ligase catalytic subunit (GCLC) and NAD(P)H:quinone oxidoreductase 1 (NQO1)] were negatively associated with miR-144 levels. Increases in miR-144 and miR-21 were associated with plasma 8-hydroxydeoxyguanosine 8-OHdG level and were blunted by antioxidant (i.e, DEN). CONCLUSIONS: Systemic miRNAs with plausible biological function are altered by acute moderate-dose DE exposure. Oxidative stress appears to mediate DE-associated changes in miR-144.",2013,"['Acetylcysteine/*pharmacology', 'Adult', 'Antioxidants/*pharmacology', 'CD3 Complex/analysis', 'Cross-Over Studies', 'Double-Blind Method', 'Humans', 'MicroRNAs/*analysis', 'NF-E2-Related Factor 2/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Vehicle Emissions/*toxicity']",23584289,hsa-mir-215,No
270,Distinct expression of the neurotoxic microRNA family let-7 in the cerebrospinal,"MicroRNAs (miRNAs) are non-coding RNAs originally involved in RNA silencing and post-transcriptional regulation of gene expression. We have shown in previous work that the miRNA let-7b can act as a signalling molecule for Toll-like receptor 7, thereby initiating innate immune pathways and apoptosis in the central nervous system. Here, we investigated whether different members of the miRNA family let-7, abundantly expressed in the brain, are released into the human cerebrospinal fluid (CSF) and whether quantitative differences in let-7 copies exist in neurodegenerative diseases. RNA isolated from CSF of patients with Alzheimer´s disease (AD) and from control patients with frontotemporal lobe dementia (FTLD), major depressive episode (MDE) without clinical or neurobiological signs of AD, and healthy individuals, was reverse transcribed with primers against nine let-7 family members, and miRNAs were quantified and analyzed comparatively by quantitative PCR. let-7 miRNAs were present in CSF from patients with AD, FTLD, MDE, and healthy controls. However, the amount of individual let-7 miRNAs in the CSF varied substantially. CSF from AD patients contained higher amounts of let-7b and let-7e compared to healthy controls, while no differences were observed regarding the other let-7 miRNAs. No increase in let-7b and let-7e was detected in CSF from FTLD patients, while in CSF from MDE patients, let-7b and let-7e copy levels were elevated. In CSF from AD patients, let-7b and let-7e were associated with extracellular vesicles. let-7 family members present in the CSF mediated neurotoxicity in vitro, albeit to a variable extent. Taken together, neurotoxic let-7 miRNAs are differentially and specifically released in AD, but also in MDE patients. Thus, these miRNAs may mirror common neuropathological paths and by this serve to unscramble mechanisms of different neurodegenerative diseases.",2018,"['Aged', 'Aged, 80 and over', 'Alzheimer Disease/*cerebrospinal fluid', 'Cell-Derived Microparticles/*metabolism', 'Depressive Disorder, Major/cerebrospinal fluid', 'Female', 'Frontotemporal Dementia/cerebrospinal fluid', '*Gene Expression Regulation', 'Humans', 'Male', 'MicroRNAs/*cerebrospinal fluid', 'Middle Aged']",30011310,hsa-let-7b,No
434,Monoallelic and biallelic deletions of 13q14.3 in chronic lymphocytic leukemia:,"Deletion of 13q14.3 (del(13q)) is the most common cytogenetic abnormality in chronic lymphocytic leukemia (CLL) and implies a favorable prognosis. We explored the feasibility of detecting del(13q) by real-time quantitative polymerase chain reaction (PCR) for miR-15a and miR-16-1, whose loci are located in the deleted region. We analyzed 23 cases of B-CLL with monoallelic (10 cases) or biallelic del(13q) (5 cases) and used trisomy 12-positive CLL samples (n = 8) as control samples. As expected, miR-15a was expressed at significantly lower levels in monoallelic del(13qx1) samples compared with trisomy 12 control samples (P = .001). Biallelic del(13q) (del(13qx2)) samples showed further reduction of miR-15a levels compared with monoallelic del(13q) (del(13qx1)) (P = .009). In contrast, miR-16-1 expression levels were generally much lower and variable, with the highest levels detected in del(13qx1). Analyzed retrospectively, miR-15a levels differ among the del(13q) groups. However, only del(13qx2) miR-15a levels are reduced enough to determine the allelic status of an individual sample prospectively by real-time quantitative PCR.",2012,"['Aged', 'Aged, 80 and over', 'Alleles', 'Chromosome Deletion', 'Chromosome Disorders/*genetics', 'Chromosomes, Human, Pair 13/genetics', 'Female', 'Humans', '*In Situ Hybridization, Fluorescence', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Male', 'MicroRNAs/genetics', 'Middle Aged', '*Real-Time Polymerase Chain Reaction']",22431542,hsa-mir-15a,No
345,miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor,"Traditional research modes aim to find cancer-specific single therapeutic target. Recently, emerging evidence suggested that some micro-RNAs (miRNA) can function as oncogenes or tumor suppressors. miRNAs are single-stranded, small noncoding RNA genes that can regulate hundreds of downstream target genes. In this study, we evaluated the miRNA expression patterns in gastric carcinoma and the specific role of miR-223 in gastric cancer metastasis. miRNA expression signature was first analyzed by real-time PCR on 10 paired gastric carcinomas and confirmed in another 20 paired gastric carcinoma tissues. With the 2-fold expression difference as a cutoff level, we identified 22 differential expressed mature miRNAs. Sixteen miRNAs were upregulated in gastric carcinoma, including miR-223, miR-21, miR-23b, miR-222, miR-25, miR-23a, miR-221, miR-107, miR-103, miR-99a, miR-100, miR-125b, miR-92, miR-146a, miR-214 and miR-191, and six miRNAs were downregulated in gastric carcinoma, including let-7a, miR-126, miR-210, miR-181b, miR-197, and miR-30aa-5p. After examining these miRNAs in several human gastric originated cell lines, we found that miR-223 is overexpressed only in metastatic gastric cancer cells and stimulated nonmetastatic gastric cancer cells migration and invasion. Mechanistically, miR-223, induced by the transcription factor Twist, posttranscriptionally downregulates EPB41L3 expression by directly targeting its 3'-untranslated regions. Significantly, overexpression of miR-223 in primary gastric carcinomas is associated with poor metastasis-free survival. These findings indicate a new regulatory mode, namely, specific miRNA, which is activated by its upstream transcription factor, could suppress its direct targets and lead to tumor invasion and metastasis.",2011,"[""3' Untranslated Regions"", 'Animals', 'Carcinoma/genetics/metabolism/*pathology', 'Cell Line, Tumor', 'Cell Movement/genetics', 'Gene Expression Regulation, Neoplastic', 'Genes, Tumor Suppressor', 'HEK293 Cells', 'Humans', 'Mice', 'MicroRNAs/genetics/*metabolism', 'Microfilament Proteins/genetics/*metabolism', 'Neoplasm Invasiveness', 'Neoplasm Metastasis', 'Nuclear Proteins/*metabolism', 'Stomach Neoplasms/genetics/metabolism/*pathology', 'Twist-Related Protein 1/*metabolism']",21628394,hsa-mir-23a,Yes
1135,Extracellular vesicle microRNAs contribute to Notch signaling pathway in T-cell,"T-cell acute lymphoblastic leukemia (T-ALL) is an aggressive T-cell malignancy characterized by genotypically-defined and phenotypically divergent cell populations, governed by adaptive landscapes. Clonal expansions are associated to genetic and epigenetic events, and modulation of external stimuli that affect the hierarchical structure of subclones and support the dynamics of leukemic subsets. Recently, small extracellular vesicles (sEV) such as exosomes were also shown to play a role in leukemia. Here, by coupling miRNome, bulk and single cell transcriptome profiling, we found that T-ALL-secreted sEV contain NOTCH1-dependent microRNAs (EV-miRs), which control oncogenic pathways acting as autocrine stimuli and ultimately promoting the expansion/survival of highly proliferative cell subsets of human T-cell leukemias. Of interest, we found that NOTCH1-dependent EV-miRs mostly comprised members of miR-17-92a cluster and paralogues, which rescued in vitro the proliferation of T-ALL cells blocked by γ-secretase inhibitors (GSI) an regulated a network of genes characterizing patients with relapsed/refractory early T-cell progenitor (ETP) ALLs. All these findings suggest that NOTCH1 dependent EV-miRs may sustain the growth/survival of immunophenotypically defined cell populations, altering the cell heterogeneity and the dynamics of T-cell leukemias in response to conventional therapies.",2022,"['Humans', '*Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/metabolism', '*MicroRNAs/genetics', 'Receptor, Notch1/genetics/metabolism', 'Amyloid Precursor Protein Secretases/genetics/metabolism', 'Signal Transduction', '*Extracellular Vesicles/genetics/metabolism']",36550553,hsa-mir-17,No
137,MicroRNA-29a upregulates MMP2 in oral squamous cell carcinoma to promote cancer,"Abnormal microRNA expression is a common and important feature of human malignancies. Matrix metalloproteinase 2 (MMP2), which has been reported in several cancers, plays important roles in cancer progression. However, the microRNA regulatory mechanism on MMP2 expression remains unclear. In this study, we first detected MMP2 and microRNA-29a (miR-29a) expression in oral squamous carcinoma (OSCC) specimens, which showed that MMP2 was higher in OSCC cancer tissues than adjacent tissues but that miR-29a was lower in OSCC cancer tissues than adjacent tissues. Then, we confirmed that miR-29a, which directly targeted 3'-UTR of MMP2 gene, negatively regulated MMP2 expression by miR-29a transfection and luciferase reporter assay. Exogenous overexpression of miR-29a inhibited OSCC cell invasion and anti-apoptosis significantly in vitro. Whereas, knockdown of miR-29a promoted OSCC cell invasion and induced drug-resistance in vitro. This study suggests that miR-29a plays an inhibiting role in the progression of OSCC, which may be a potentially therapeutic approach in the future.",2014,"[""3' Untranslated Regions/genetics"", 'Apoptosis/genetics', 'Carcinoma, Squamous Cell/*genetics/pathology', 'Cell Line, Tumor', 'Disease Progression', 'Gene Expression Regulation, Neoplastic', 'Gene Knockdown Techniques', 'Humans', 'Matrix Metalloproteinase 2/*genetics', 'MicroRNAs/*genetics', 'Mouth Neoplasms/*genetics/pathology', 'Neoplasm Invasiveness/genetics', 'Transfection', 'Up-Regulation']",24210072,hsa-mir-29a,Yes
185,PUMA is a novel target of miR-221/222 in human epithelial cancers.,"miR-221 and miR-222 (miR-221/222) are frequently up-regulated in human epithelial cancers. However, the mechanism of miR-221/222 action involved in carcinogenesis has not been extensively studied. Here, we found that reduction of miR-221/222 inhibited cell proliferation and induced mitochondrial-mediated apoptosis in human epithelial cancer cells (A549 lung cancer and MCF-7 breast cancer cells). Bioinformatics and luciferase reporter assays showed that miR-221/222 co-modulated the p53 upregulated modulator of apoptosis (PUMA) expression by directly targeting the binding site within the 3'UTR. Together, these findings suggest that PUMA is a direct target of miR-221/222 that functions as an endogenous apoptosis regulator in these epithelial cancers.",2010,"[""3' Untranslated Regions"", 'Apoptosis/genetics', 'Apoptosis Regulatory Proteins/*genetics', 'Base Sequence', 'Cells, Cultured', '*Gene Expression Regulation, Neoplastic', 'Humans', 'MicroRNAs/genetics/metabolism/*physiology', 'Molecular Sequence Data', 'Neoplasms, Glandular and Epithelial/*genetics/metabolism', 'Proto-Oncogene Proteins/*genetics', 'Sequence Homology, Nucleic Acid']",21042732,hsa-mir-221,Yes
