mir,disease,PMID,AB,TI,HMDD label,miRAIDD label,completion
hsa-mir-17,"Carcinoma, Hepatocellular",15944709,"MicroRNAs (miRNAs) are 21-23 nucleotide RNA molecules that regulate the stability or translational efficiency of target messenger RNAs. miRNAs have diverse functions, including the regulation of cellular differentiation, proliferation and apoptosis. Although strict tissue- and developmental-stage-specific expression is critical for appropriate miRNA function, mammalian transcription factors that regulate miRNAs have not yet been identified. The proto-oncogene c-MYC encodes a transcription factor that regulates cell proliferation, growth and apoptosis. Dysregulated expression or function of c-Myc is one of the most common abnormalities in human malignancy. Here we show that c-Myc activates expression of a cluster of six miRNAs on human chromosome 13. Chromatin immunoprecipation experiments show that c-Myc binds directly to this locus. The transcription factor E2F1 is an additional target of c-Myc that promotes cell cycle progression. We find that expression of E2F1 is negatively regulated by two miRNAs in this cluster, miR-17-5p and miR-20a. These findings expand the known classes of transcripts within the c-Myc target gene network, and reveal a mechanism through which c-Myc simultaneously activates E2F1 transcription and limits its translation, allowing a tightly controlled proliferative signal.",c-Myc-regulated microRNAs modulate E2F1 expression.,yes,0.0,"Cannot determine causality from this abstract. The study identifies that hsa-mir-17 is negatively regulating E2F1 expression, which promotes cell cycle progression. However, the abstract does not mention any disease in particular or any causal intervention experiments with miR-17 that would suggest it plays a causal role in any disease."
hsa-mir-20a,"Carcinoma, Hepatocellular",15944709,"MicroRNAs (miRNAs) are 21-23 nucleotide RNA molecules that regulate the stability or translational efficiency of target messenger RNAs. miRNAs have diverse functions, including the regulation of cellular differentiation, proliferation and apoptosis. Although strict tissue- and developmental-stage-specific expression is critical for appropriate miRNA function, mammalian transcription factors that regulate miRNAs have not yet been identified. The proto-oncogene c-MYC encodes a transcription factor that regulates cell proliferation, growth and apoptosis. Dysregulated expression or function of c-Myc is one of the most common abnormalities in human malignancy. Here we show that c-Myc activates expression of a cluster of six miRNAs on human chromosome 13. Chromatin immunoprecipation experiments show that c-Myc binds directly to this locus. The transcription factor E2F1 is an additional target of c-Myc that promotes cell cycle progression. We find that expression of E2F1 is negatively regulated by two miRNAs in this cluster, miR-17-5p and miR-20a. These findings expand the known classes of transcripts within the c-Myc target gene network, and reveal a mechanism through which c-Myc simultaneously activates E2F1 transcription and limits its translation, allowing a tightly controlled proliferative signal.",c-Myc-regulated microRNAs modulate E2F1 expression.,yes,0.0,"It is not clear from the abstract whether hsa-mir-20a plays a causal role in any disease. While c-Myc regulates the expression of hsa-mir-20a and it negatively regulates E2F1 expression, there is no mention of any disease or phenotype that is affected by this regulation. The abstract suggests that the paper is focused on the basic biology of miRNA and transcription factor regulation, rather than any disease."
hsa-mir-29a,Alzheimer Disease,18434550,"Although the role of APP and PSEN genes in genetic Alzheimer's disease (AD) cases is well established, fairly little is known about the molecular mechanisms affecting Abeta generation in sporadic AD. Deficiency in Abeta clearance is certainly a possibility, but increased expression of proteins like APP or BACE1/beta-secretase may also be associated with the disease. We therefore investigated changes in microRNA (miRNA) expression profiles of sporadic AD patients and found that several miRNAs potentially involved in the regulation of APP and BACE1 expression appeared to be decreased in diseased brain. We show here that miR-29a, -29b-1, and -9 can regulate BACE1 expression in vitro. The miR-29a/b-1 cluster was significantly (and AD-dementia-specific) decreased in AD patients displaying abnormally high BACE1 protein. Similar correlations between expression of this cluster and BACE1 were found during brain development and in primary neuronal cultures. Finally, we provide evidence for a potential causal relationship between miR-29a/b-1 expression and Abeta generation in a cell culture model. We propose that loss of specific miRNAs can contribute to increased BACE1 and Abeta levels in sporadic AD.",Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates,yes,0.0,"Yes, hsa-mir-29a plays a causal role in Alzheimer's disease as the study suggests that loss of specific miRNAs, including miR-29a, can contribute to increased BACE1 and Abeta levels in sporadic AD."
hsa-mir-143,Neoplasms [unspecific],20439436,"We studied miRNA profiles in 4419 human samples (3312 neoplastic, 1107 nonmalignant), corresponding to 50 normal tissues and 51 cancer types. The complexity of our database enabled us to perform a detailed analysis of microRNA (miRNA) activities. We inferred genetic networks from miRNA expression in normal tissues and cancer. We also built, for the first time, specialized miRNA networks for solid tumors and leukemias. Nonmalignant tissues and cancer networks displayed a change in hubs, the most connected miRNAs. hsa-miR-103/106 were downgraded in cancer, whereas hsa-miR-30 became most prominent. Cancer networks appeared as built from disjointed subnetworks, as opposed to normal tissues. A comparison of these nets allowed us to identify key miRNA cliques in cancer. We also investigated miRNA copy number alterations in 744 cancer samples, at a resolution of 150 kb. Members of miRNA families should be similarly deleted or amplified, since they repress the same cellular targets and are thus expected to have similar impacts on oncogenesis. We correctly identified hsa-miR-17/92 family as amplified and the hsa-miR-143/145 cluster as deleted. Other miRNAs, such as hsa-miR-30 and hsa-miR-204, were found to be physically altered at the DNA copy number level as well. By combining differential expression, genetic networks, and DNA copy number alterations, we confirmed, or discovered, miRNAs with comprehensive roles in cancer. Finally, we experimentally validated the miRNA network with acute lymphocytic leukemia originated in Mir155 transgenic mice. Most of miRNAs deregulated in these transgenic mice were located close to hsa-miR-155 in the cancer network.",Reprogramming of miRNA networks in cancer and leukemia.,yes,0.0,"It is not clear from the abstract whether hsa-mir-143 plays a causal role in the disease described above since the study only identified differential expression, genetic networks, and DNA copy number alterations of miRNAs in cancer, but did not perform any causal intervention experiments."
hsa-mir-31,Mesothelioma,20463022,"The human genome encodes several hundred microRNA (miRNA) genes that produce small (21-23n) single strand regulatory RNA molecules. Although abnormal expression of miRNAs has been linked to cancer progression, the mechanisms of this dysregulation are poorly understood. Malignant mesothelioma (MM) of pleura is an aggressive and highly lethal cancer resistant to conventional therapies. We and others previously linked loss of the 9p21.3 chromosome in MM with short time to tumor recurrence. In this study, we report that MM cell lines derived from patients with more aggressive disease fail to express miR-31, a microRNA recently linked with suppression of breast cancer metastases. We further demonstrate that this loss is due to homozygous deletion of the miR-31-encoding gene that resides in 9p21.3. Functional assessment of miR-31 activity revealed its ability to inhibit proliferation, migration, invasion, and clonogenicity of MM cells. Re-introduction of miR-31 suppressed the cell cycle and inhibited expression of multiple factors involved in cooperative maintenance of DNA replication and cell cycle progression, including pro-survival phosphatase PPP6C, which was previously associated with chemotherapy and radiation therapy resistance, and maintenance of chromosomal stability. PPP6C, whose mRNA is distinguished with three miR-31-binding sites in its 3'-untranslated region, was consistently down-regulated by miR-31 introduction and up-regulated in clinical MM specimens as compared with matched normal tissues. Taken together, our data suggest that tumor-suppressive propensity of miR-31 can be used for development of new therapies against mesothelioma and other cancers that show loss of the 9p21.3 chromosome.",Pro-tumorigenic effects of miR-31 loss in mesothelioma.,yes,0.0,"No, hsa-mir-31 does not play a causal role in mesothelioma. While it is linked to tumor suppression and loss of its expression is associated with more aggressive disease, reintroducing it in MM cells inhibits cell proliferation, migration, invasion and clonogenicity. Therefore, its loss may contribute to tumorigenesis but it is not the primary cause of mesothelioma."
hsa-mir-29a,"Leukemia, Myeloid, Acute",20628397,"BACKGROUND: CCAAT/enhancer-binding protein-alpha (CEBPA) is crucial for normal granulopoiesis and is frequently disrupted in acute myeloid leukaemia (AML). Increasing evidence suggests that CEBPA exerts its effects, in parts, by regulating specific microRNAs (miRNAs), as previously shown for miR-223. The aim of this study was to investigate the genome-wide pattern of miRNAs regulated by CEBPA in myeloid cells. METHODS: In Kasumi-1 cells, conditionally expressing CEBPA, we assessed the expression of 470 human miRNAs by microarray analysis. We further investigated the microarray results by qRT-PCR, luciferase reporter assays, and chromatin immunoprecipitation assays. RESULTS: In all, 18 miRNAs were more than two-fold suppressed or induced after CEBPA restoration. Among these 18 miRNAs, we focused on CEBPA-mediated regulation of the tumour-suppressive miR-29b. We observed that miR-29b is suppressed in AML patients with impaired CEBPA function or loss of chromosome 7q. We found that CEBPA selectively regulates miR-29b expression on its miR-29a/b1 locus on chromosome 7q32.3, whereas miR-29b2/c on chromosome 1q32.2 is not affected. CONCLUSION: This study reports the activation of the tumour-suppressive miR-29b by the haematopoietic key transcription factor CEBPA. Our data provide a rationale for miR-29b suppression in AML patients with loss of chromosome 7q or CEBPA deficiency.",The tumour-suppressive miR-29a/b1 cluster is regulated by CEBPA and blocked in,yes,0.0,"There isn't enough evidence in the abstract to determine whether hsa-mir-29a plays a causal role in the described disease (acute myeloid leukemia). Although the study reports the activation of the tumour-suppressive miR-29b by CEBPA, there is no information on the causal role of miR-29a specifically."
hsa-mir-15a,"Leukemia, Lymphocytic, Chronic, B-Cell",21156224,"Chronic lymphocytic leukemia (CLL) is the most common form of leukemia among adults in the Western world, with an incidence of approximately 1 out of 100,000 patients per year. CLL is characterized by the clonal expansion of immature CD5(+) B cells. Although cytotoxic agents remain the mainstay of therapy, the disease of up to 20% of patients is not controlled with standard therapies. Therefore, there remains a need for novel therapeutic strategies. MicroRNAs (miRNAs or miRs), first identified nearly two decades ago, are noncoding RNAs that have the capacity for simultaneous regulation of tens to hundreds of genes. An association between CLL-associated chromosomal abnormalities and miRNA deregulation is beginning to emerge. miRNAs may play a biological role in the pathogenesis of CLL: specific miRNAs (miR-15a and miR-16-1) are located at a chromosomal region (13q14.3) that is often absent in patients with CLL. These same miRNAs are relevant to cellular phenotype and in vivo development of disease. This finding has led to a rapidly expanding series of investigations linking miRNAs to CLL. As a result, miRNAs are currently under investigation as diagnostic and prognostic biomarkers as well as potential therapeutic targets in CLL.",MicroRNA in chronic lymphocytic leukemia: transitioning from laboratory-based,yes,0.0,"There is no explicit mention of a causal role of hsa-mir-15a in CLL in the abstract. The abstract focuses on the association between miRNAs and CLL, and their potential as diagnostic, prognostic, and therapeutic targets. Therefore, it is unclear whether hsa-mir-15a is a causal miRNA in CLL."
hsa-mir-16-1,"Leukemia, Lymphocytic, Chronic, B-Cell",21156224,"Chronic lymphocytic leukemia (CLL) is the most common form of leukemia among adults in the Western world, with an incidence of approximately 1 out of 100,000 patients per year. CLL is characterized by the clonal expansion of immature CD5(+) B cells. Although cytotoxic agents remain the mainstay of therapy, the disease of up to 20% of patients is not controlled with standard therapies. Therefore, there remains a need for novel therapeutic strategies. MicroRNAs (miRNAs or miRs), first identified nearly two decades ago, are noncoding RNAs that have the capacity for simultaneous regulation of tens to hundreds of genes. An association between CLL-associated chromosomal abnormalities and miRNA deregulation is beginning to emerge. miRNAs may play a biological role in the pathogenesis of CLL: specific miRNAs (miR-15a and miR-16-1) are located at a chromosomal region (13q14.3) that is often absent in patients with CLL. These same miRNAs are relevant to cellular phenotype and in vivo development of disease. This finding has led to a rapidly expanding series of investigations linking miRNAs to CLL. As a result, miRNAs are currently under investigation as diagnostic and prognostic biomarkers as well as potential therapeutic targets in CLL.",MicroRNA in chronic lymphocytic leukemia: transitioning from laboratory-based,yes,0.0,"Since the authors mention that the loss of hsa-mir-16-1, located in a chromosomal region often absent in patients with CLL, is relevant to cellular phenotype and disease development, hsa-mir-16-1 plays a causal role in chronic lymphocytic leukemia."
hsa-mir-107,Urinary Bladder Cancer,21388952,"Activation of oncogenes or inactivation of tumor suppressors in urothelium is considered critical for development of urothelial cancer. Here we report cloning of the urothelium-specific promoter uroplakin-II (UPK II) and generation of transgenic mice in which expression of SV40 large T antigen is driven by UPK II promoter. Inactivation of tumor suppressor p53 and pRb in urothelium by SV40 T antigen resulted in urothelial carcinoma, resembling human high-grade carcinoma in situ. Specific deletion of p53 in urothelial cells using the newly generated UPK II-Cre mice results in normal bladders without any evidence of cancer. The high-grade carcinoma in situ in the UPK II-SV40 mice is associated with significant activation of angiogenic signals consisting of hypoxia-inducible factor-1α (HIF-1α) and VEGF and a down-regulation of thrombospondin-1. Interestingly, such pro-angiogenic activity was not associated with progression to invasive cancer. Analysis of bladder-associated microRNAs in carcinoma in situ lesions reveals a pro-angiogenic profile, with specific overexpression of miR-18a and miR-19a and down-regulation of miR-107. A group of microRNAs (miRs) identified as associated with invasive human urothelial cancer remained unchanged in this mouse model. Collectively, our results support the notion that activation of angiogenesis and loss of p53 are not sufficient for progression to invasive cancer. Our studies identify a new mouse model for bladder cancer that can be used to study factors that determine progression to an invasive phenotype of bladder cancer.",Loss of p53 and acquisition of angiogenic microRNA profile are insufficient to,yes,0.0,There is no information in the abstract to determine whether hsa-mir-107 plays a causal role in the urothelial cancer described above.
hsa-mir-15a,Prostate Neoplasms,21472816,"MicroRNAs (miRNAs) are small, non-coding RNAs that negatively regulate the expression of protein coding genes. In this study, we screened highly informative prostate cancer cell lines and xenografts (n = 42) for miRNA gene copy number and expression changes. The expression profiling showed distinction between cell lines and xenografts as well as between androgen sensitive and independent models. Only a few copy number alterations that were associated with expression changes were identified. Most importantly, the miR-15a-miR-16-1 locus was found to be homozygously deleted in two samples leading to the abolishment of miR-15a, but not miR-16, expression. miR-16 is also expressed from another genomic locus. Mutation screening of the miR-15a-miR-16-1 gene in the model systems as well as clinical samples (n = 50) revealed no additional mutations. In conclusion, our data indicate that putative tumor suppressors, miR-15a and miR-16-1, are homozygously deleted in a subset of prostate cancers, further suggesting that these miRNAs could be important in the development of prostate cancer.",The miR-15a-miR-16-1 locus is homozygously deleted in a subset of prostate,yes,0.0,"The abstract suggests that hsa-mir-15a is a putative tumor suppressor, which is homozygously deleted in a subset of prostate cancers, thereby indicating that hsa-mir-15a may play a causal role in the development of prostate cancer."
