mir,diseases,num_diseases,num_papers,conservation,num_in_name,avg_expres,max_expres,num_tissues,miRbase_year,percent_cancer,num_targets,miranda_targets,targetscan_targets,mirdb_targets,num_diseases_thresh_2,paper_resids,no_paper_lr_pred,full_lr_pred,years_resids,full_resids
hsa-let-7a-2,Lung Neoplasms,1,25,401,7,8503.234814814814,152838.8,15,2001,1.0,172,1290,917,264,0,8.15013784743839,8.973522208552126,9.239859296310687,12.085459897149503,1.8181491217865673
hsa-let-7f-1,Medulloblastoma|Prostatic Neoplasms,2,23,401,7,12035.682592592591,211874.2,15,2001,1.0,378,3471,614,786,0,6.958806651887141,9.590609927048188,10.086845825718656,11.085459897149503,1.7843862507017445
hsa-let-7f-2,,0,11,401,7,12884.22962962963,213195.7,15,2001,0.0,408,1939,622,389,0,7.810819478579647,6.482744291285049,6.473974976056183,13.085459897149503,1.4285015670661938
hsa-mir-92a-2,"Liver Neoplasms|Carcinoma, Hepatocellular",2,19,212,92,6808.285185185185,125146.4,15,2002,1.0,478,892,2184,216,0,6.576144260784643,9.088712661515045,9.154872493609364,11.089403827802098,1.5787436014320306
hsa-mir-103a-2,Prostatic Neoplasms,1,2,94,103,1948.634814814815,23898.4,15,2002,1.0,734,1445,1001,146,0,5.949829098599026,7.382891231482968,7.693455198889931,12.089403827802098,1.4769305219845588
hsa-mir-199a-1,Ovarian Neoplasms,1,5,86,199,796.2577777777777,8762.0,15,2003,1.0,0,0,0,0,1,6.2368258919259,6.859150528900901,7.042366490729522,12.093347758454692,1.3332658888424584
hsa-mir-30c-1,"Liver Neoplasms|Prostatic Neoplasms|Carcinoma, Hepatocellular",3,22,178,30,386.7540740740741,5161.6,15,2002,1.0,1141,1443,1503,114,0,5.863141054111518,8.956657523639471,9.312572812292142,10.089403827802098,1.392887706228372
hsa-mir-302d,Inflammatory Bowel Diseases|Breast Neoplasms|Osteoarthritis|Macular Degeneration,4,45,49,302,0.0596296296296296,5.0,6,2004,0.25,1140,2705,1306,540,2,7.063449802950881,9.41460802208449,9.816387663355467,9.097291689107289,1.2834029977714354
hsa-mir-369,"Liver Neoplasms|Lung Neoplasms|Stomach Neoplasms|Colorectal Neoplasms|Glioblastoma|Prostatic Neoplasms|Neoplasm Invasiveness|Neoplasm Recurrence, Local|Primary Ovarian Insufficiency|Brain Neoplasms|Carcinoma, Hepatocellular|Carcinogenesis|Thyroid Cancer, Papillary|Carcinoma, Non-Small-Cell Lung",14,57,237,369,141.20222222222225,8423.6,15,2004,0.714285714285714,961,2812,569,271,7,-1.7885630237416237,21.11959779572529,21.125082263361413,-0.902708310892713,1.5721702997510927
hsa-mir-452,"Liver Neoplasms|Stomach Neoplasms|Lung Neoplasms|Glioma|Cell Transformation, Neoplastic|Hypersensitivity|Kidney Neoplasms|Prostatic Neoplasms|Carcinoma, Renal Cell|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Lymphatic Metastasis|Asthma|Neoplasm Invasiveness|Breast Neoplasms|Carcinoma, Hepatocellular|Carcinogenesis|Colorectal Neoplasms|Carcinoma, Non-Small-Cell Lung",18,82,11,452,66.75888888888889,3302.3,15,2005,0.611111111111111,1244,2937,1713,319,13,-3.3969230793510103,32.46978853841458,31.759779012097272,-4.898764380240118,3.036135597366711
