mir,diseases,num_diseases,num_papers,conservation,num_in_name,avg_expres,max_expres,num_tissues,miRbase_year,percent_cancer,num_targets,miranda_targets,targetscan_targets,mirdb_targets,num_diseases_thresh_2,paper_resids,no_paper_lr_pred,full_lr_pred,years_resids
hsa-let-7a-1,Glioma|Prostatic Neoplasms|Neoplasm Invasiveness|Colonic Neoplasms|Small Cell Lung Carcinoma|Brain Neoplasms|Peritoneal Neoplasms,7,29,401,7,8381.891481481482,119300.6,15,2001,0.714285714285714,0,0,0,0,0,2.5328002385408883,7.232140013535934,7.258142450273646,6.085459897149505
hsa-let-7a-2,Lung Neoplasms,1,25,401,7,8503.234814814814,152838.8,15,2001,1.0,172,1290,917,264,0,8.15013784743839,8.973522208552126,9.239859296310687,12.085459897149503
hsa-let-7a-3,"Adenoma|Diabetic Nephropathies|Adenocarcinoma|Medulloblastoma|Breast Neoplasms|Diabetes Mellitus, Type 2|Pre-Eclampsia|Lung Neoplasms|Colorectal Neoplasms|Ovarian Neoplasms",10,20,401,7,8392.823703703705,82751.4,15,2001,0.6,0,0,0,0,0,-1.328190141439732,6.892610397756108,6.828778803910439,3.085459897149505
hsa-let-7b,"Lymphoma, Large B-Cell, Diffuse|Papillomavirus Infections|Carcinoma, Hepatocellular|Pulmonary Embolism|Schistosomiasis japonica|Carcinoma, Renal Cell|Rectal Fistula|Neoplasm Invasiveness|Purpura, Thrombocytopenic, Idiopathic|Thyroid Neoplasms|Thyroid Cancer, Papillary|Hemorrhoids|Stomach Neoplasms|Endometriosis|Retinoblastoma|Tuberculosis|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Triple Negative Breast Neoplasms|Helicobacter Infections|Hyperglycemia|Hodgkin Disease|Esophageal Neoplasms|Sarcoma, Ewing|Acute Kidney Injury|Adenocarcinoma|Liver Diseases, Alcoholic|Crohn Disease|Cerebellar Neoplasms|Neoplasm Recurrence, Local|Cataract|Breast Diseases|Carcinogenesis|Colorectal Neoplasms|Arthritis, Rheumatoid|Renal Insufficiency, Chronic|Neuroblastoma|Alcoholism|Hepatitis C|Glioma|Glomerulonephritis, IGA|Graves Disease|COVID-19|Kidney Neoplasms|Skin Neoplasms|Neoplasm Metastasis|Liver Cirrhosis|Melanoma|Lung Neoplasms|Carcinoma, Squamous Cell|Ovarian Neoplasms|Liver Neoplasms|Parkinson Disease|Arthritis, Experimental|Uterine Cervical Neoplasms|Diabetes Mellitus, Experimental|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Cell Transformation, Neoplastic|Sepsis|Glioblastoma|Hypertension, Pulmonary|Lymphatic Metastasis|Medulloblastoma|Lupus Erythematosus, Systemic|Retinopathy of Prematurity|Leukemia|Escherichia coli Infections|Influenza, Human|Psoriasis|Gastrointestinal Diseases|Sarcoma|Diabetes Mellitus, Type 2|Eye Neoplasms|Leukemia, Myeloid, Acute|Myocardial Reperfusion Injury|Prostatic Neoplasms|Diabetic Nephropathies|Breast Neoplasms|Asthenozoospermia|Mouth Neoplasms|Alzheimer Disease|Neoplasms, Glandular and Epithelial|Carcinoma, Ovarian Epithelial|Carcinoma, Papillary|Uveal Neoplasms|Esophageal Squamous Cell Carcinoma|Myocardial Ischemia|Mesothelioma|Brain Neoplasms|Multiple Myeloma|Carcinoma|Carcinoma, Non-Small-Cell Lung|Mesothelioma, Malignant",92,502,401,7,16940.636666666665,253767.7,15,2001,0.434782608695652,7068,3791,2481,1216,30,-37.21737201358871,76.6170738105428,75.70970971119675,-78.9145401028505
hsa-let-7c,"Leukemia, Myeloid, Acute|Myocardial Reperfusion Injury|Kidney Neoplasms|Prostatic Neoplasms, Castration-Resistant|Endometrial Neoplasms|Muscular Dystrophy, Duchenne|Prostatic Neoplasms|Diabetic Nephropathies|Neoplasm Metastasis|Kidney Failure, Chronic|Nasopharyngeal Neoplasms|Adenocarcinoma|Diabetes Mellitus, Type 1|Breast Neoplasms|Carcinoma, Hepatocellular|Melanoma|Lung Neoplasms|Neoplasm Recurrence, Local|Carcinoma, Squamous Cell|Mouth Neoplasms|Liver Neoplasms|Dengue|Nasopharyngeal Carcinoma|Cataract|Bile Duct Neoplasms|Urinary Bladder Neoplasms|Pituitary Neoplasms|Carcinoma, Renal Cell|Proteinuria|HIV Infections|Prolactinoma|Neoplasm Invasiveness|Uterine Cervical Neoplasms|Liver Neoplasms, Experimental|Cholangiocarcinoma|Monoclonal Gammopathy of Undetermined Significance|Pancreatic Neoplasms|Neoplasms, Experimental|Carcinogenesis|Colorectal Neoplasms|Stomach Neoplasms|Cell Transformation, Neoplastic|Encephalitis, Tick-Borne|Arthritis, Rheumatoid|Encephalitis|Renal Insufficiency, Chronic|Precancerous Conditions|Squamous Cell Carcinoma of Head and Neck|Lymphatic Metastasis|Brain Ischemia|Osteoarthritis|Multiple Myeloma|Neoplasms, Cystic, Mucinous, and Serous|Glioma|Esophageal Neoplasms|Leiomyoma|Carcinoma|Carcinoma, Transitional Cell|Osteoporosis, Postmenopausal|Uterine Neoplasms|Adenocarcinoma of Lung|Endometritis|Stroke|Carcinoma, Non-Small-Cell Lung",64,345,401,7,4320.311481481482,90043.2,15,2001,0.53125,2934,830,2812,1040,22,-24.236870864361755,52.9826110915557,52.66794381074628,-50.914540102850495
hsa-let-7d,"Cocaine-Related Disorders|Substance-Related Disorders|Kidney Neoplasms|Neoplasm Metastasis|Uterine Diseases|Carcinoma, Intraductal, Noninfiltrating|Breast Neoplasms|Pulmonary Fibrosis|Lung Neoplasms|Carcinoma, Squamous Cell|Pregnancy Complications|Ovarian Neoplasms|Mouth Neoplasms|Birt-Hogg-Dube Syndrome|Carcinoma, Renal Cell|Neoplasm Invasiveness|Carcinoma, Ovarian Epithelial|Polycystic Ovary Syndrome|Lung Injury|Carcinoma in Situ|Pre-Eclampsia|Neoplasms, Experimental|Colorectal Neoplasms|Idiopathic Pulmonary Fibrosis|Glioblastoma|Precancerous Conditions|Lymphatic Metastasis|Triple Negative Breast Neoplasms|Brain Neoplasms|Genital Diseases, Female|Glioma|Carcinoma|Genital Neoplasms, Female|Leukemia, Promyelocytic, Acute",34,243,401,7,1396.6222222222223,22466.9,15,2001,0.558823529411765,2452,973,2574,360,12,-3.9947618374754574,34.62643766589145,34.63512773435757,-20.91454010285049
hsa-let-7e,"Muscular Dystrophies|Sarcoma, Synovial|Colitis, Ulcerative|Non-ST Elevated Myocardial Infarction|Neoplasm Metastasis|Papillomavirus Infections|Encephalomyelitis, Autoimmune, Experimental|Breast Neoplasms|Uterine Cervical Dysplasia|Crohn Disease|Anemia, Neonatal|Carcinoma, Hepatocellular|Lung Neoplasms|Carcinoma, Squamous Cell|Venous Thrombosis|Ovarian Neoplasms|Liver Neoplasms|Dengue|Non-alcoholic Fatty Liver Disease|Obesity|Neoplasms, Glandular and Epithelial|Hyperandrogenism|Neoplasm Invasiveness|Uterine Cervical Neoplasms|Carcinoma, Ovarian Epithelial|Neoplasms, Germ Cell and Embryonal|Polycystic Ovary Syndrome|Carcinoma, Papillary|Pancreatic Neoplasms|Carcinogenesis|Colorectal Neoplasms|Thyroid Cancer, Papillary|Thyroid Neoplasms|Cell Transformation, Neoplastic|Multiple Sclerosis|Glioblastoma|Esophageal Squamous Cell Carcinoma|Squamous Cell Carcinoma of Head and Neck|Neuroblastoma|Brain Neoplasms|Myocardial Infarction|Muscular Atrophy|Esophageal Neoplasms|Carcinoma|Inflammatory Bowel Diseases|Diabetes Mellitus, Type 2|Carcinoma, Non-Small-Cell Lung",47,202,401,7,1455.9614814814813,38301.8,15,2001,0.51063829787234,2848,946,2402,431,13,-20.917051346276068,36.8205519277518,36.283393986537206,-33.914540102850495
hsa-let-7f-1,Medulloblastoma|Prostatic Neoplasms,2,23,401,7,12035.682592592593,211874.2,15,2001,1.0,378,3471,614,786,0,6.958806651887141,9.590609927048188,10.086845825718656,11.085459897149503
hsa-let-7f-2,,0,11,401,7,12884.22962962963,213195.7,15,2001,0.0,408,1939,622,389,0,7.810819478579647,6.482744291285049,6.473974976056183,13.085459897149503
hsa-mir-15a,"Endometrial Neoplasms|Lymphoma, Large B-Cell, Diffuse|Hypopharyngeal Neoplasms|Carcinoma, Hepatocellular|Carcinoma, Renal Cell|Neoplasm Invasiveness|Colonic Neoplasms|Carcinoma, Pancreatic Ductal|Monoclonal Gammopathy of Undetermined Significance|Purpura, Thrombocytopenic, Idiopathic|Stomach Neoplasms|Endometriosis|Cystadenocarcinoma, Serous|Plasmacytoma|Osteosarcoma|Triple Negative Breast Neoplasms|Epilepsy, Temporal Lobe|Chromosome Disorders|Odontogenic Tumors|Hyperglycemia|Wilms Tumor|Lymphoma, Non-Hodgkin|Pheochromocytoma|Scoliosis|Fanconi Anemia|Rhinitis, Allergic|Chlamydia Infections|Leukemia, Promyelocytic, Acute|Ischemic Stroke|Colitis, Ulcerative|Carcinoma, Intraductal, Noninfiltrating|Nasopharyngeal Neoplasms|Adenocarcinoma|Crohn Disease|Neoplasm Recurrence, Local|Uremia|Cataract|Bile Duct Neoplasms|Odontogenic Cysts|Pancreatic Neoplasms|Carcinogenesis|Colorectal Neoplasms|Adenoma|Arthritis, Rheumatoid|Adrenal Gland Neoplasms|Neuroblastoma|Leukostasis|Glioma|Hematologic Neoplasms|Small Cell Lung Carcinoma|Kidney Neoplasms|Osteoporosis|Neoplasm Metastasis|Skin Neoplasms|Asthma|Diabetic Retinopathy|Arthritis|Melanoma|Jaw Neoplasms|Lung Neoplasms|Bone Neoplasms|Carcinoma, Squamous Cell|Ovarian Neoplasms|Liver Neoplasms|Neoplasms, Plasma Cell|Pterygium|Urinary Bladder Neoplasms|Pituitary Neoplasms|Lymphoma, Extranodal NK-T-Cell|Uterine Cervical Neoplasms|Diabetes Mellitus, Experimental|Neoplasms, Experimental|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Cell Transformation, Neoplastic|Lymphatic Metastasis|Pleural Neoplasms|Osteoarthritis|Leukemia|Diabetes Complications|Hemangioma|Adenocarcinoma of Lung|Gallbladder Neoplasms|Diabetes Mellitus, Type 2|Peritoneal Fibrosis|Leukemia, Myeloid, Acute|Prostatic Neoplasms|Neonatal Sepsis|Breast Neoplasms|Leukemia, Lymphocytic, Chronic, B-Cell|Nasopharyngeal Carcinoma|Intervertebral Disc Degeneration|Cholangiocarcinoma|Pre-Eclampsia|Idiopathic Pulmonary Fibrosis|Uveal Neoplasms|Carcinoma, Ductal, Breast|Heart Diseases|Infertility, Female|Myasthenia Gravis|Mesothelioma|Brain Neoplasms|Ischemia|Multiple Myeloma|Myocardial Infarction|Head and Neck Neoplasms|Erdheim-Chester Disease|Carcinoma|Colitis|Carcinoma, Non-Small-Cell Lung|Mesothelioma, Malignant|Lymphoma",111,614,168,15,535.6151851851852,13363.4,15,2001,0.513513513513513,4349,2130,3384,658,46,-45.50282506271876,100.98141224169966,99.79065559226936,-97.9145401028505
